pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,datetime,aqi_pm25,hour,day,month,lag_1,lag_3,lag_6,roll_mean_6,roll_mean_12,target_h1,target_h2,target_h3
13.7,26.8,213.0,5.6,14.6,60.0,2025-09-14 11:00:00,13.7,11,14,9,13.7,14.0,10.4,13.216666666666667,12.141666666666666,13.0,17.2,23.7
13.5,26.1,201.0,4.5,14.3,65.0,2025-09-14 12:00:00,13.5,12,14,9,13.7,14.0,10.9,13.65,12.199999999999998,13.5,17.5,25.4
12.8,24.3,210.0,4.1,13.6,67.0,2025-09-14 13:00:00,12.8,13,14,9,13.5,13.7,13.0,13.616666666666667,12.299999999999999,13.6,17.5,25.1
12.7,23.5,222.0,4.3,12.9,67.0,2025-09-14 14:00:00,12.7,14,14,9,12.8,13.7,14.0,13.4,12.458333333333334,13.6,18.7,25.5
12.5,23.2,232.0,5.1,12.5,63.0,2025-09-14 15:00:00,12.5,15,14,9,12.7,13.5,14.0,13.15,12.633333333333333,13.9,19.9,26.5
11.9,21.4,246.0,6.6,12.2,56.0,2025-09-14 16:00:00,11.9,16,14,9,12.5,12.8,13.7,12.85,12.758333333333333,13.2,18.6,26.2
10.6,19.0,264.0,8.9,12.7,50.0,2025-09-14 17:00:00,10.6,17,14,9,11.9,12.7,13.7,12.333333333333334,12.774999999999999,16.4,20.2,29.2
11.8,20.5,293.0,14.0,12.4,42.0,2025-09-14 18:00:00,11.8,18,14,9,10.6,12.5,13.5,12.049999999999999,12.85,16.2,20.1,25.7
12.9,18.9,326.0,21.0,12.1,30.0,2025-09-14 19:00:00,12.9,19,14,9,11.8,11.9,12.8,12.066666666666668,12.841666666666667,17.8,21.9,25.1
13.5,19.6,339.0,25.2,11.5,23.0,2025-09-14 20:00:00,13.5,20,14,9,12.9,10.6,12.7,12.200000000000001,12.799999999999999,17.2,22.3,25.0
13.9,20.9,317.0,24.2,10.7,23.0,2025-09-14 21:00:00,13.9,21,14,9,13.5,11.8,12.5,12.433333333333332,12.791666666666666,16.1,21.8,25.6
14.2,22.2,276.0,20.5,9.7,26.0,2025-09-14 22:00:00,14.2,22,14,9,13.9,12.9,11.9,12.816666666666668,12.833333333333334,15.0,21.4,27.3
14.1,22.9,234.0,16.6,8.8,30.0,2025-09-14 23:00:00,14.1,23,14,9,14.2,13.5,10.6,13.4,12.866666666666667,14.1,20.9,28.8
13.4,22.6,194.0,13.1,7.9,33.0,2025-09-15 00:00:00,13.4,0,15,9,14.1,13.9,11.8,13.666666666666666,12.858333333333334,13.0,20.4,27.9
12.3,21.5,154.0,9.6,7.1,37.0,2025-09-15 01:00:00,12.3,1,15,9,13.4,14.2,12.9,13.566666666666668,12.816666666666668,12.1,19.6,26.0
12.3,22.7,126.0,6.9,6.5,39.0,2025-09-15 02:00:00,12.3,2,15,9,12.3,14.1,13.5,13.366666666666667,12.783333333333333,11.5,18.7,23.7
11.4,21.0,109.0,5.6,6.2,40.0,2025-09-15 03:00:00,11.4,3,15,9,12.3,13.4,13.9,12.950000000000001,12.691666666666668,11.1,17.9,21.9
10.7,19.5,105.0,5.1,6.1,39.0,2025-09-15 04:00:00,10.7,4,15,9,11.4,12.3,14.2,12.366666666666667,12.591666666666669,11.1,17.3,20.7
10.2,18.5,130.0,5.5,6.7,39.0,2025-09-15 05:00:00,10.2,5,15,9,10.7,12.3,14.1,11.716666666666667,12.558333333333335,11.5,16.8,18.5
10.6,19.6,217.0,7.2,7.6,38.0,2025-09-15 06:00:00,10.6,6,15,9,10.2,11.4,13.4,11.25,12.458333333333334,12.0,17.1,18.2
12.1,21.5,333.0,9.5,8.7,37.0,2025-09-15 07:00:00,12.1,7,15,9,10.6,10.7,12.3,11.216666666666667,12.391666666666666,14.0,19.4,21.0
14.2,27.6,398.0,10.6,9.7,38.0,2025-09-15 08:00:00,14.2,8,15,9,12.1,10.2,12.3,11.533333333333333,12.450000000000001,16.1,19.7,21.8
12.8,25.8,362.0,9.3,10.2,43.0,2025-09-15 09:00:00,12.8,9,15,9,14.2,10.6,11.4,11.766666666666666,12.358333333333333,18.0,20.6,22.9
13.0,27.0,276.0,6.7,10.5,50.0,2025-09-15 10:00:00,13.0,10,15,9,12.8,12.1,10.7,12.15,12.258333333333333,18.0,22.5,25.4
13.0,27.6,210.0,4.8,10.7,55.0,2025-09-15 11:00:00,13.0,11,15,9,13.0,14.2,10.2,12.616666666666665,12.166666666666666,17.2,23.7,26.7
13.5,29.0,190.0,4.1,10.7,58.0,2025-09-15 12:00:00,13.5,12,15,9,13.0,12.8,10.6,13.1,12.174999999999999,17.5,25.4,28.5
13.6,27.6,190.0,4.0,10.5,60.0,2025-09-15 13:00:00,13.6,13,15,9,13.5,13.0,12.1,13.350000000000001,12.283333333333331,17.5,25.1,29.0
13.6,28.2,202.0,4.4,10.3,59.0,2025-09-15 14:00:00,13.6,14,15,9,13.6,13.0,14.2,13.25,12.391666666666667,18.7,25.5,29.2
13.9,28.9,231.0,5.3,10.2,55.0,2025-09-15 15:00:00,13.9,15,15,9,13.6,13.5,12.8,13.433333333333332,12.6,19.9,26.5,28.8
13.2,26.4,272.0,6.7,10.1,50.0,2025-09-15 16:00:00,13.2,16,15,9,13.9,13.6,13.0,13.466666666666667,12.808333333333335,18.6,26.2,28.3
16.4,34.0,303.0,8.8,10.4,45.0,2025-09-15 17:00:00,16.4,17,15,9,13.2,13.6,13.0,14.033333333333333,13.324999999999998,20.2,29.2,32.7
16.2,28.5,316.0,13.2,10.3,38.0,2025-09-15 18:00:00,16.2,18,15,9,16.4,13.9,13.5,14.483333333333333,13.791666666666666,20.1,25.7,31.8
17.8,29.3,318.0,19.1,10.1,30.0,2025-09-15 19:00:00,17.8,19,15,9,16.2,13.2,13.6,15.183333333333332,14.266666666666666,21.9,25.1,32.8
17.2,26.8,308.0,22.5,9.8,24.0,2025-09-15 20:00:00,17.2,20,15,9,17.8,16.4,13.6,15.783333333333333,14.516666666666666,22.3,25.0,33.4
16.1,24.6,282.0,21.2,9.3,25.0,2025-09-15 21:00:00,16.1,21,15,9,17.2,16.2,13.9,16.15,14.791666666666666,21.8,25.6,33.4
15.0,23.3,245.0,17.5,8.7,28.0,2025-09-15 22:00:00,15.0,22,15,9,16.1,17.8,13.2,16.45,14.958333333333334,21.4,27.3,33.3
14.1,22.3,209.0,13.9,8.0,32.0,2025-09-15 23:00:00,14.1,23,15,9,15.0,17.2,16.4,16.066666666666666,15.049999999999999,20.9,28.8,32.7
13.0,21.4,175.0,11.0,7.2,35.0,2025-09-16 00:00:00,13.0,0,16,9,14.1,16.1,16.2,15.533333333333333,15.008333333333333,20.4,27.9,31.2
12.1,21.1,142.0,8.3,6.4,37.0,2025-09-16 01:00:00,12.1,1,16,9,13.0,15.0,17.8,14.583333333333334,14.883333333333335,19.6,26.0,29.0
11.5,20.7,120.0,6.3,5.9,39.0,2025-09-16 02:00:00,11.5,2,16,9,12.1,14.1,17.2,13.633333333333333,14.708333333333334,18.7,23.7,27.1
11.1,20.2,103.0,5.3,5.7,40.0,2025-09-16 03:00:00,11.1,3,16,9,11.5,13.0,16.1,12.799999999999999,14.475000000000001,17.9,21.9,25.9
11.1,20.3,96.0,5.0,5.8,40.0,2025-09-16 04:00:00,11.1,4,16,9,11.1,12.1,15.0,12.15,14.299999999999999,17.3,20.7,24.9
11.5,22.7,123.0,5.6,6.2,41.0,2025-09-16 05:00:00,11.5,5,16,9,11.1,11.5,14.1,11.716666666666667,13.891666666666666,16.8,18.5,22.8
12.0,22.8,222.0,8.2,7.0,39.0,2025-09-16 06:00:00,12.0,6,16,9,11.5,11.1,13.0,11.549999999999999,13.541666666666666,17.1,18.2,23.4
14.0,25.8,354.0,11.7,8.1,36.0,2025-09-16 07:00:00,14.0,7,16,9,12.0,11.1,12.1,11.866666666666667,13.225,19.4,21.0,25.6
16.1,33.9,427.0,13.5,9.2,35.0,2025-09-16 08:00:00,16.1,8,16,9,14.0,11.5,11.5,12.633333333333333,13.133333333333333,19.7,21.8,26.1
18.0,46.2,382.0,12.1,10.4,39.0,2025-09-16 09:00:00,18.0,9,16,9,16.1,12.0,11.1,13.783333333333333,13.291666666666666,20.6,22.9,29.6
18.0,46.9,278.0,9.1,11.5,46.0,2025-09-16 10:00:00,18.0,10,16,9,18.0,14.0,11.1,14.933333333333332,13.541666666666666,22.5,25.4,28.3
17.2,43.3,201.0,6.7,12.2,52.0,2025-09-16 11:00:00,17.2,11,16,9,18.0,16.1,11.5,15.883333333333333,13.800000000000002,23.7,26.7,29.5
17.5,46.2,183.0,5.7,12.1,55.0,2025-09-16 12:00:00,17.5,12,16,9,17.2,18.0,12.0,16.8,14.175000000000002,25.4,28.5,30.0
17.5,48.1,191.0,5.3,11.5,56.0,2025-09-16 13:00:00,17.5,13,16,9,17.5,18.0,14.0,17.383333333333333,14.625,25.1,29.0,29.6
18.7,56.3,212.0,5.6,11.1,56.0,2025-09-16 14:00:00,18.7,14,16,9,17.5,17.2,16.1,17.816666666666666,15.225,25.5,29.2,29.5
19.9,59.5,247.0,6.3,11.0,54.0,2025-09-16 15:00:00,19.9,15,16,9,18.7,17.5,18.0,18.133333333333333,15.958333333333334,26.5,28.8,27.7
18.6,51.3,295.0,7.6,11.1,50.0,2025-09-16 16:00:00,18.6,16,16,9,19.9,17.5,18.0,18.233333333333334,16.583333333333332,26.2,28.3,27.0
20.2,51.1,335.0,9.4,11.7,47.0,2025-09-16 17:00:00,20.2,17,16,9,18.6,18.7,17.2,18.733333333333334,17.308333333333334,29.2,32.7,30.6
20.1,43.3,364.0,15.3,11.7,39.0,2025-09-16 18:00:00,20.1,18,16,9,20.2,19.9,17.5,19.166666666666668,17.983333333333334,25.7,31.8,30.0
21.9,39.1,385.0,23.4,11.6,28.0,2025-09-16 19:00:00,21.9,19,16,9,20.1,18.6,17.5,19.900000000000002,18.641666666666666,25.1,32.8,30.2
22.3,37.4,395.0,28.7,11.5,20.0,2025-09-16 20:00:00,22.3,20,16,9,21.9,20.2,18.7,20.5,19.158333333333335,25.0,33.4,30.3
21.8,35.7,392.0,28.7,11.4,19.0,2025-09-16 21:00:00,21.8,21,16,9,22.3,20.1,19.9,20.816666666666666,19.474999999999998,25.6,33.4,30.7
21.4,35.0,377.0,25.9,11.2,22.0,2025-09-16 22:00:00,21.4,22,16,9,21.8,21.9,18.6,21.28333333333333,19.758333333333333,27.3,33.3,31.8
20.9,34.5,349.0,22.8,10.8,25.0,2025-09-16 23:00:00,20.9,23,16,9,21.4,22.3,20.2,21.400000000000002,20.066666666666666,28.8,32.7,32.6
20.4,34.5,300.0,20.0,10.1,27.0,2025-09-17 00:00:00,20.4,0,17,9,20.9,21.8,20.1,21.45,20.308333333333334,27.9,31.2,31.5
19.6,34.5,238.0,16.9,9.2,30.0,2025-09-17 01:00:00,19.6,1,17,9,20.4,21.4,21.9,21.066666666666666,20.48333333333333,26.0,29.0,29.7
18.7,34.7,190.0,14.3,8.6,32.0,2025-09-17 02:00:00,18.7,2,17,9,19.6,20.9,22.3,20.466666666666665,20.48333333333333,23.7,27.1,27.6
17.9,35.6,159.0,12.4,8.2,33.0,2025-09-17 03:00:00,17.9,3,17,9,18.7,20.4,21.8,19.816666666666666,20.316666666666666,21.9,25.9,25.3
17.3,37.4,141.0,11.0,8.0,34.0,2025-09-17 04:00:00,17.3,4,17,9,17.9,19.6,21.4,19.133333333333336,20.208333333333332,20.7,24.9,24.0
16.8,36.1,156.0,10.7,8.4,34.0,2025-09-17 05:00:00,16.8,5,17,9,17.3,18.7,20.9,18.45,19.925,18.5,22.8,21.6
17.1,38.0,235.0,12.2,9.9,34.0,2025-09-17 06:00:00,17.1,6,17,9,16.8,17.9,20.4,17.900000000000002,19.675,18.2,23.4,21.0
19.4,43.5,347.0,14.2,12.1,34.0,2025-09-17 07:00:00,19.4,7,17,9,17.1,17.3,19.6,17.866666666666667,19.466666666666665,21.0,25.6,23.1
19.7,50.2,411.0,14.9,14.1,37.0,2025-09-17 08:00:00,19.7,8,17,9,19.4,16.8,18.7,18.03333333333333,19.25,21.8,26.1,24.0
20.6,61.9,380.0,13.0,15.8,45.0,2025-09-17 09:00:00,20.6,9,17,9,19.7,17.1,17.9,18.483333333333334,19.15,22.9,29.6,24.3
22.5,80.1,301.0,9.9,17.4,55.0,2025-09-17 10:00:00,22.5,10,17,9,20.6,19.4,17.3,19.349999999999998,19.241666666666667,25.4,28.3,24.5
23.7,84.1,243.0,7.5,18.3,63.0,2025-09-17 11:00:00,23.7,11,17,9,22.5,19.7,16.8,20.5,19.474999999999998,26.7,29.5,26.1
25.4,89.6,230.0,6.6,18.2,67.0,2025-09-17 12:00:00,25.4,12,17,9,23.7,20.6,17.1,21.883333333333336,19.891666666666666,28.5,30.0,25.7
